entity_id,state,last_changed
sensor.shellypro3em_9454c5b9b340_total_active_power,9.993,2026-04-28T11:09:14.998Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.421,2026-04-28T11:09:28.988Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.48,2026-04-28T11:09:43.979Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.245,2026-04-28T11:09:59.001Z
sensor.shellypro3em_9454c5b9b340_total_active_power,6.931,2026-04-28T11:10:12.976Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.834,2026-04-28T11:10:27.954Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.077,2026-04-28T11:10:42.945Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.935,2026-04-28T11:10:56.990Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.346,2026-04-28T11:11:10.946Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.901,2026-04-28T11:11:25.927Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.337,2026-04-28T11:11:40.919Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-54.892,2026-04-28T11:11:53.008Z
sensor.shellypro3em_9454c5b9b340_total_active_power,5.854,2026-04-28T11:11:54.906Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.798,2026-04-28T11:12:08.905Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.692,2026-04-28T11:12:22.903Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.589,2026-04-28T11:12:36.894Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.759,2026-04-28T11:12:50.884Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-90.573,2026-04-28T11:12:53.932Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-57.096,2026-04-28T11:12:55.881Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-19.531,2026-04-28T11:12:56.879Z
sensor.shellypro3em_9454c5b9b340_total_active_power,14.669,2026-04-28T11:12:58.879Z
sensor.shellypro3em_9454c5b9b340_total_active_power,51.292,2026-04-28T11:13:08.881Z
sensor.shellypro3em_9454c5b9b340_total_active_power,109.078,2026-04-28T11:13:10.872Z
sensor.shellypro3em_9454c5b9b340_total_active_power,95.098,2026-04-28T11:13:11.871Z
sensor.shellypro3em_9454c5b9b340_total_active_power,48.415,2026-04-28T11:13:15.871Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-20.843,2026-04-28T11:13:16.872Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-50.199,2026-04-28T11:13:17.868Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-29.322,2026-04-28T11:13:19.919Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-14.585,2026-04-28T11:13:23.868Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-6.056,2026-04-28T11:13:31.865Z
sensor.shellypro3em_9454c5b9b340_total_active_power,26.243,2026-04-28T11:13:41.864Z
sensor.shellypro3em_9454c5b9b340_total_active_power,23.653,2026-04-28T11:13:55.863Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-25.251,2026-04-28T11:13:58.900Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-18.909,2026-04-28T11:14:00.864Z
sensor.shellypro3em_9454c5b9b340_total_active_power,42.763,2026-04-28T11:14:09.873Z
sensor.shellypro3em_9454c5b9b340_total_active_power,46.918,2026-04-28T11:14:10.866Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-15.746,2026-04-28T11:14:11.893Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.688,2026-04-28T11:14:13.867Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.942,2026-04-28T11:14:27.877Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.421,2026-04-28T11:14:41.864Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.824,2026-04-28T11:14:55.860Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.344,2026-04-28T11:15:09.883Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.957,2026-04-28T11:15:23.875Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.664,2026-04-28T11:15:37.887Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.228,2026-04-28T11:15:51.902Z
sensor.shellypro3em_9454c5b9b340_total_active_power,14.35,2026-04-28T11:16:00.924Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.832,2026-04-28T11:16:01.911Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.178,2026-04-28T11:16:15.929Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.709,2026-04-28T11:16:18.941Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.858,2026-04-28T11:16:32.943Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.974,2026-04-28T11:16:35.955Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.608,2026-04-28T11:16:41.953Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.976,2026-04-28T11:16:56.006Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.318,2026-04-28T11:17:08.990Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.153,2026-04-28T11:17:19.999Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.346,2026-04-28T11:17:34.026Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.286,2026-04-28T11:17:48.036Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.505,2026-04-28T11:18:02.057Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.116,2026-04-28T11:18:11.071Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.978,2026-04-28T11:18:15.072Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.387,2026-04-28T11:18:29.118Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.31,2026-04-28T11:18:31.092Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.273,2026-04-28T11:18:37.088Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.236,2026-04-28T11:18:41.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.707,2026-04-28T11:18:55.104Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.843,2026-04-28T11:19:08.109Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.634,2026-04-28T11:19:22.105Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.456,2026-04-28T11:19:36.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.664,2026-04-28T11:19:46.151Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.718,2026-04-28T11:19:58.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.557,2026-04-28T11:20:12.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.781,2026-04-28T11:20:23.172Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.353,2026-04-28T11:20:37.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.869,2026-04-28T11:20:42.181Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.916,2026-04-28T11:20:51.145Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.505,2026-04-28T11:21:05.145Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.365,2026-04-28T11:21:12.151Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.991,2026-04-28T11:21:24.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.213,2026-04-28T11:21:38.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.841,2026-04-28T11:21:52.209Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.546,2026-04-28T11:21:59.180Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.112,2026-04-28T11:22:10.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.74,2026-04-28T11:22:24.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.168,2026-04-28T11:22:38.160Z
